id_producto,nombre_producto,categoria,precio_usd
1,  Procesador AMD Ryzen 9 ,CPU, $450
2,Intel Core I7  ,cpu, $320
3, Tarjeta de Video RTX 4070, GPU, $600
4,  tarjeta de video RX 7800 XT,gpu,$520
5,Memoria RAM Corsair 32GB, RAM, $110
6, Memoria ram Kingston 16gb,ram,$55
7,Disco Sólido SSD 1TB Samsung,, $85
8, SSD M.2 NVMe 2TB WD , Almacenamiento, $130
9,Fuente de Poder 750W Corsair,Fuente,$90
10,  fuente de poder EVGA 600W,fuente,
11,Gabinete NZXT H510,Gabinete, $75
12, Gabinete Cooler Master, , $60
13,Refrigeración Líquida Corsair,Refrigeracion, $120
14, Disipador Aire Noctua,refrigeracion, $80
15,Tarjeta Madre ASUS B650,Motherboard,$190
16, Tarjeta madre MSI X670 ,motherboard, $280
17,Monitor LG 144Hz 24 pulgadas,Monitor,
18, monitor samsung 60hz,monitor, $110
19,Teclado Mecánico Razer, Perifericos, $100
20,  Mouse Logitech G502 ,perifericos, $50
21,Auriculares HyperX Cloud,,$80
